Data
OUT OF STOCK,Woolworths Little Gem Lettuce Green 2 Pack,View similar,products,             to Woolworths Little Gem Lettuce Green 2 Pack,Save to list
$5.50,$3.44 / 100G,Avofresh Smashed Avocado 160g,Add to cart,Save to list
$4.50,$18.00 / 1KG,Woolworths Truss Cocktail Tomato Punnet 250g,Add to cart,Save to list
$13.50,$13.50 / 1KG,Mushroom Portobello Flat Large MIN. 200G,Add to cart,Save to list
$4.50,$45.00 / 1KG,Macro Certified Organic Baby Spinach 100g,Add to cart,Save to list
EST. RESTOCK 05/03/25,Cotton Candy™ Grapes 400g,View similar,products,             to Cotton Candy™ Grapes 400g,Save to list
$5.30,$7.07 / 1KG,The Odd Bunch Lemons 750g,Add to cart,Save to list
OUT OF STOCK,Candy Snaps™ Grapes 400g,View similar,products,             to Candy Snaps™ Grapes 400g,Save to list
$3.20,$3.20 / 10G,Woolworths Rosemary Fresh Herb 10g Punnet,Add to cart,Save to list
EST. RESTOCK 05/03/25,Woolworths 3 Colour Traffic Light Capsicums 3 Pack,View similar,products,             to Woolworths 3 Colour Traffic Light Capsicums 3 Pack,Save to list
$5.90,$24.58 / 1KG,Woolworths Green Goodness Salad Bowl 240g,Add to cart,Save to list
$4.50,$10.00 / 1KG,Woolworths American Style Slaw Kit 450g,Add to cart,Save to list
SAVE $1.00,$8.50,$9.50 - $37.78 / 1KG,Golden Palm Medjool Dates 225g Punnet,Add to cart,Save to list
EST. RESTOCK 05/03/25,Cotton Candy™ Grapes 400g,View similar,products,             to Cotton Candy™ Grapes 400g,Save to list
$7.20,$7.20 / 1EA,Pumpkin Butternut Whole Each,Add to cart,Save to list
$2.90,$2.90 / 1EA,Woolworths Baby Buk Choy Asian Greens Each,Add to cart,Save to list
$25.52,$25.52 / 1EA,Red Seedless Watermelon Whole Each,Add to cart,Save to list
$5.50,$27.50 / 1KG,Woolworths Mushrooms Swiss Brown Sliced 200g Punnet,Add to cart,Save to list
$14.90,$14.90 / 1KG,Woolworths Brussels Sprouts PER KG,Add to cart,Save to list
OUT OF STOCK,Fresh Fennel Each,Add to cart,Save to list
$5.50,$15.71 / 1KG,Woolworths Cranberry & Kaleslaw Kit 350g,Add to cart,Save to list
OUT OF STOCK,Passionfruit Panama Each,Add to cart,Save to list
OUT OF STOCK,Sweet Delight Tomatoes 200g,View similar,products,             to Sweet Delight Tomatoes 200g,Save to list
$2.90,$2.90 / 1EA,Woolworths Baby Buk Choy Asian Greens Each,Add to cart,Save to list
$3.00,$12.00 / 1KG,Woolworths Whole Fresh Beetroot 250g,Add to cart,Save to list
SAVE $0.40,$1.60,$2.00 - $10.67 / 1KG,Woolworths Washed & Ready To Cook Broccoli Florets 150g,Add to cart,Save to list
$4.00,$4.00 / 1EA,Macro Organic Herb Coriander Bunch Each,Add to cart,Save to list
$3.20,$1.07 / 10G,Woolworths Lemongrass Fresh Herb 30g Punnet,Add to cart,Save to list
EST. RESTOCK 06/03/25,Swedes Fresh Each,Add to cart,Save to list
$5.50,$3.44 / 100G,Avofresh Avocado Lime & Black Pepper Tube 160G,Add to cart,Save to list
$3.50,$8.75 / 1KG,Woolworths Cook Stir Fry Mix Rainbow Vegetables 400g,Add to cart,Save to list
$3.20,$3.20 / 10G,Woolworths Kaffir Lime Leaf Fresh Herb 10g Punnet,Add to cart,Save to list
OUT OF STOCK,Macro Organic Avocado Each,View similar,products,             to Macro Organic Avocado Each,Save to list
OUT OF STOCK,Woolworths Brussel Sprouts Prepack 500g Punnet,View similar,products,             to Woolworths Brussel Sprouts Prepack 500g Punnet,Save to list
$4.90,$24.50 / 1KG,Macro Organic Round Beans 200g,Add to cart,Save to list
$4.00,$10.00 / 10G,Gourmet Garden Lightly Dried Chives 4g,Add to cart,Save to list
$1.18,$1.18 / 1EA,Fresh Corella Pear Each,Add to cart,Save to list
$4.00,$0.50 / 10G,Gourmet Garden Paste Basil 80g,Add to cart,Save to list
$6.50,$15.29 / 1KG,Macro Organic Corn Cobettes Pre-Pack 425g,Add to cart,Save to list
$1.21,$1.21 / 1EA,Kanzi Apple Each,Add to cart,Save to list
OUT OF STOCK,Woolworths Little Gem Lettuce Combo 2 Pack,View similar,products,             to Woolworths Little Gem Lettuce Combo 2 Pack,Save to list
IN-STORE ONLY,Macro Organic Sweet Potato Each,View similar,products,             to Macro Organic Sweet Potato Each,Save to list
$8.90,$5.93 / 1KG,Macro Organic Valencia Oranges 1.5kg Bag,Add to cart,Save to list
OUT OF STOCK,Gourmet Garden Mint Lightly Dried 5g,View similar,products,             to Gourmet Garden Mint Lightly Dried 5g,Save to list
$0.80,$0.80 / 1EA,Plum Pluto Red Flesh each,Add to cart,Save to list
