Product Name,Price,Price per Unit
Twinings English Breakfast Extra Strong Tea Bags 80 Pack,$13.50,$0.17 / 1EA
Coca - Cola Classic  Soft Drink Multipack Cans 375ml X 24 Pack,$22.00,$2.44 / 1L
Coca - Cola Zero Sugar Soft Drink Multipack Cans 24 X 375ml,$22.00,$2.44 / 1L
Pepsi Max Cans 30x375ml,$26.00,$2.31 / 1L
Frantelle Still Spring Water 24x600ml,$13.50,$0.94 / 1L
Nestle Sweetened Condensed Milk 395g,$2.50,$0.63 / 100G
Nestle Milo Malted Drinking Chocolate 460g,$6.50,$1.41 / 100G
Coca - Cola Classic  Soft Drink Bottle 2l,$3.65,$1.83 / 1L
Sanitarium So Good Long Life Unsweetened Almond Milk 1l,$2.00,$2.00 / 1L
Woolworths Spring Water Sipper 1l,$1.20,$1.20 / 1L
Sanpellegrino Sparkling Natural Mineral Water Slim Cans 330ml X8 Pack,$15.60,$5.91 / 1L
Tetley Extra Strong Tea Bags 100 Pack,$3.99,$0.04 / 1EA
Sanpellegrino Natural Mineral Water 250ml X6 Pack,$15.60,$10.40 / 1L
Mount Franklin Spring Water Bottle 1.5l,$3.00,$2.00 / 1L
V8 Tropical Juice Juice 1.25l,$5.50,$4.40 / 1L
Santa Vittoria Sparkling Mineral Water 6x750ml,$11.80,$2.62 / 1L
Mount Franklin Lightly Sparkling Water Lemon Bottle 1.25l,$2.85,$2.28 / 1L
Powerade Ion4 Mountain Blast Sports Drink Sipper Cap 600ml,$2.00,$3.33 / 1L
Pauls Zymil Skim Uht Milk 1l,$3.00,$3.00 / 1L
Vitasoy Oat Milk 1l,$3.30,$3.30 / 1L
Woolworths Lightly Sparkling Water With Lemon 1.25l,$1.60,$1.28 / 1L
Red Bull Energy Drink 4x250ml,$12.00,$12.00 / 1L
Solo Zero Sugar 10x375ml,$8.25,$2.20 / 1L
Mount Franklin Lightly Sparkling Raspberry 375ml X10 Pack,$16.10,$4.29 / 1L
Just Rooibos African Tea Bags 40 Pack,$7.00,$0.18 / 1EA
Coca - Cola Classic  Soft Drink Bottle 1.25l,$3.55,$2.84 / 1L
Schweppes Raspberry 1.1l,$2.80,$2.55 / 1L
Vitasoy Soy Milky Lite 1l,$2.45,$2.45 / 1L
Sustagen Vanilla Ready To Drink 3x250ml,$6.70,$8.93 / 1L
Pump Spring Water Bottle 1.25l,$2.95,$2.36 / 1L
Vitasoy Soy Milky Regular 1l,$2.45,$2.45 / 1L
Bonsoy Long Life Soy Milk 1l,$3.90,$3.90 / 1L
Pepsi Max Sodastream Soda Mix 440ml,$7.00,$15.91 / 1L
Coca - Cola Classic  Soft Drink Multipack Cans 375ml X 24 Pack,$22.00,$2.44 / 1L
Coca - Cola Zero Sugar Soft Drink Multipack Cans 24 X 375ml,$22.00,$2.44 / 1L
Pepsi Max Cans 30x375ml,$26.00,$2.31 / 1L
Frantelle Still Spring Water 24x600ml,$13.50,$0.94 / 1L
Nestle Sweetened Condensed Milk 395g,$2.50,$0.63 / 100G
Nestle Milo Malted Drinking Chocolate 460g,$6.50,$1.41 / 100G
Coca - Cola Classic  Soft Drink Bottle 2l,$3.65,$1.83 / 1L
Sanitarium So Good Long Life Unsweetened Almond Milk 1l,$2.00,$2.00 / 1L
Fever-tree Meditteranean Tonic Water Bottles 200ml X 4 Pack,$7.00,$8.75 / 1L
Moore's Ultra Pure Still Water 5l,$4.70,$0.94 / 1L
Schweppes Infused Natural Mineral Water Blood Orange & Mango 375ml X10 Pack,$8.25,$2.20 / 1L
Schweppes Agrum Citrus Blend Zero Sugar Agrum Citrus 1.1l,$2.80,$2.55 / 1L
V8 Breakfast Juice Juice 1.25l,$5.50,$4.40 / 1L
Schweppes Natural Mineral Water 300ml X4 Pack,$5.00,$4.17 / 1L
Twinings Camomile & Spearmint Tea Bags 10 Pack,$3.00,$0.30 / 1EA
Twinings Pure Peppermint Tea Bags 80 Pack,$13.50,$0.17 / 1EA
Prime Hydration Blue Raspberry 500ml,$4.50,$9.00 / 1L
Twinings Camomile & Spiced Apple Tea Bags 10 Pack,$3.00,$0.30 / 1EA
Starbucks By Nespresso Caffe Verona Coffee Pods Capsules 10 Pack,$5.90,$0.59 / 1EA
