Product Name,Price,Price per Unit
Don Salami Hungarian Hot 200g,$8.50,$42.50 / 1KG
Leggos Fresh Veal Tortellini 630g,$7.00,$1.11 / 100G
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Yumi's Sweet Potato & Cashews Dip 200g,$3.50,$1.75 / 100G
Woolworths Creamy Pasta Salad 250g,$3.80,$1.52 / 100G
Yumi's Original Falafel Balls 225g,$5.55,$24.67 / 1KG
Don Salami Hungarian Plain 200g,$8.50,$42.50 / 1KG
Champagne Leg Ham Shaved From The Deli Per Kg,$22.00,$22.00 / 1KG
D'orsogna Ham Leg Shaved 400g,$6.50,$16.25 / 1KG
Essentials Garlic Bread 450g,$2.30,$0.51 / 100G
D'orsogna Ham Leg Triple Smoked 97% Fat Free Shaved 1kg,$22.50,$22.50 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Short Cut Bacon 200g,$4.30,$21.50 / 1KG
D'orsogna Middle Bacon Per Kg,$12.00,$12.00 / 1KG
Macro Firm Tofu 450g,$3.00,$6.67 / 1KG
Yumi's Pumpkin & Spinach Bites 225g,$6.00,$26.67 / 1KG
D'orsogna Plain Streaky Bacon From The Deli Per Kg,$18.00,$18.00 / 1KG
Woolworths Chunky Vegetable Soup 300g,$3.00,$1.00 / 100G
Obela Tzatziki Dip Classic 220g,$5.00,$2.27 / 100G
Latina Fresh Veal Tortellini Pasta 625g,$8.50,$1.36 / 100G
Supreme Foods Roti Mini Chilled Meal 125g,$3.55,$2.84 / 100G
Yumi's Avocado Dip 200g,$3.50,$1.75 / 100G
The Salad Servers Turmeric Cauliflower & Cranberry Salad 300g,$6.95,$2.32 / 100G
Primo Chorizo 2 Pack,$7.30,$29.20 / 1KG
Moira Mac's Oven Roasted Chicken Breast Shredded From The Deli Per Kg,$27.50,$27.50 / 1KG
San Marino Danish Salami 100g,$7.50,$75.00 / 1KG
Don Thin Frankfurts From The Deli Per Kg,$9.00,$9.00 / 1KG
Primo Kransky Cheese From The Deli Per Kg,$21.60,$21.60 / 1KG
Chan's Yum Cha Vegan Spring Roll 300g,$5.50,$1.83 / 100G
San Marino Platter Continental 180g,$13.50,$75.00 / 1KG
Primo Kransky Double Smoked From The Deli Per Kg,$21.60,$21.60 / 1KG
Woolworths Creamy Potato Salad 800g,$7.00,$0.88 / 100G
Yumi's Mini Hommus 65g X3 Pack,$3.50,$1.79 / 100G
V2 Plant Based Mince 400g,$7.50,$18.75 / 1KG
D'orsogna Jarrah Honey Ham Off The Bone Freshly Sliced From The Deli Per Kg,$29.00,$29.00 / 1KG
The Salad Servers Quinoa Tabbouleh 300g,$6.95,$2.32 / 100G
Yumi's Sesame Falafel Balls 225g,$5.55,$24.67 / 1KG
V2 Plant Based Classic British Sausages 6 Pack 390g,$8.50,$21.79 / 1KG
Champagne Leg Ham Shaved From The Deli Per Kg,$22.00,$22.00 / 1KG
D'orsogna Ham Leg Shaved 400g,$6.50,$16.25 / 1KG
Essentials Garlic Bread 450g,$2.30,$0.51 / 100G
D'orsogna Ham Leg Triple Smoked 97% Fat Free Shaved 1kg,$22.50,$22.50 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Short Cut Bacon 200g,$4.30,$21.50 / 1KG
D'orsogna Middle Bacon Per Kg,$12.00,$12.00 / 1KG
Macro Firm Tofu 450g,$3.00,$6.67 / 1KG
San Marino Soppressa Mild Salami 100g,$7.50,$75.00 / 1KG
Leggos Fresh Ricotta & Vegetable Tortellini 630g,$7.00,$1.11 / 100G
Chris' Homestyle Dip & Spread Tzatziki 3 Pack,$3.00,$1.67 / 100G
Mayfair Devon Slices 100g,$1.30,$13.00 / 1KG
Woolworths Creamy Pasta Salad 400g,$5.50,$1.38 / 100G
Don Famous Football Hot Dogs Skinless 375g,$6.00,$16.00 / 1KG
Strength Meals Co Chicken Laksa High Protein Soup 400g,$4.70,$1.18 / 100G
Chris' Taramosalata Homestyle Caviar Dip 200g,$4.50,$2.25 / 100G
D'orsogna Ham Honey Leg Shaved 400g,$6.50,$16.25 / 1KG
