Product Name,Price,Price per Unit
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Woolworths Salmon Portions Skin Off 2 Pack,$13.00,$46.43 / 1KG
Ingham's Turkey Breast Steaks 400g,$10.00,$25.00 / 1KG
Woolworths Bbq Classic Beef Burger 4 Pack,$8.50,$17.00 / 1KG
Clearly Premium Smoked Salmon 100g,$9.00,$90.00 / 1KG
Woolworths Pork Shoulder Roast Boneless 1.3kg - 2.8kg,$22.40,$8.00 / 1KG
Tassal Salmon Mustard & Dill 300g,$18.00,$60.00 / 1KG
Woolworths Lean Beef Mince 1kg,$16.00,$16.00 / 1KG
Ingham's Turkey Breast Mince 400g,$10.00,$25.00 / 1KG
Chicken Legs Drumsticks Per Kg,$4.00,$4.00 / 1KG
Woolworths 16 Chicken Chipolatas 600g,$7.00,$11.67 / 1KG
Woolworths Loin Steaks Pork 500g,$10.00,$20.00 / 1KG
Woolworths Lamb Leg Roast Half 750g - 1.6kg,$19.20,$12.00 / 1KG
Woolworths 6 Beef Sausage With Roasted Garlic & Parsley 500g,$8.00,$16.00 / 1KG
Woolworths Beef Mince 500g,$7.00,$14.00 / 1KG
Moira Mac's Oven Roasted Chicken Breast Shredded From The Deli Per Kg,$27.50,$27.50 / 1KG
Woolworths Lean Beef Mince 500g,$9.50,$19.00 / 1KG
Don Thin Frankfurts From The Deli Per Kg,$9.00,$9.00 / 1KG
Primo Kransky Cheese From The Deli Per Kg,$21.60,$21.60 / 1KG
Clearly Premium Smoked Ocean Trout 500g,$31.00,$62.00 / 1KG
Woolworths Heart Smart Veal Schnitzel 290g - 500g,$17.50,$35.00 / 1KG
Woolworths Chicken Kyiv Garlic Each,$3.00,$3.00 / 1EA
Woolworths Pork Leg Roast Boneless 1.2kg - 2.6kg,$28.60,$11.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Woolworths Shortcut Bacon 500g,$8.00,$16.00 / 1KG
