Product Name,Price,Price per Unit
Ingham's Chicken Tenders Original 1kg,$13.00,$13.00 / 1KG
Woolworths Chicken Breast Tempura Nuggets 400g,$4.90,$12.25 / 1KG
Vegie Delights Tender Crumbed Schnitzel 300g,$7.00,$2.33 / 100G
Vegie Delights Plant Based Not Burger 4 Pack,$7.00,$2.33 / 100G
Birds Eye Steam Fresh Potato Mash With Butter 400g,$6.50,$16.25 / 1KG
Steggles Tempura Chicken Dino Snacks 400g,$6.00,$15.00 / 1KG
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
Mccain Spinach & Ricotta Ravioli Healthy Choice Frozen Meal 350g,$5.00,$1.43 / 100G
Mccain Corn Kernels 500g,$4.00,$8.00 / 1KG
National Pies Classic Beef Pie Single 180g,$2.70,$1.50 / 100G
Plantry Plant Based Food Pad Thai Frozen Meal 350g,$8.00,$2.29 / 100G
Quorn Garlic & Herb Fillets Frozen Meal 2 Pack,$7.00,$3.50 / 100G
Ingham's Sweet Chilli Chicken Tenders 1kg,$13.00,$13.00 / 1KG
Peters Original Neapolitan Ice Cream 2l,$5.50,$0.28 / 100ML
Woolworths Baby Beans 500g,$3.10,$6.20 / 1KG
Woolworths Julienne Carrots 500g,$3.00,$6.00 / 1KG
"Birds Eye Deli Seasoned Chips Parmesan, Garlic & Basil 600g",$6.00,$10.00 / 1KG
"Snickers Choc, Caramel & Peanut Frozen Dessert Bar 6 Pack",$6.00,$2.00 / 100ML
Ocean Chef Fish King Snapper Portions 1kg,$30.00,$30.00 / 1KG
Herbert Adams Pies Gourmet King Beef Frozen 12 Pack,$9.50,$2.26 / 100G
Simply Wize Pastry Puff Gluten Free 540g,$10.00,$1.85 / 100G
Fry's Meat Free Quinoa & Brown Rice Protein Burgers Frozen Meal 320g,$6.50,$2.03 / 100G
Woolworths Frozen Mango 1kg,$9.90,$9.90 / 1KG
Macro Organic Frozen Raspberries 450g,$8.80,$19.56 / 1KG
Strong Roots Proper Chips 650g,$5.20,$8.00 / 1KG
Bulla Creamy Classics Ice Cream Vanilla 2l,$6.80,$0.34 / 100ML
Mccain Frozen Peas 500g,$3.30,$6.60 / 1KG
Woolworths Frozen Basa Fillets 1kg,$8.00,$8.00 / 1KG
Woolworths Vanilla Ice Cream 2l,$4.50,$0.23 / 100ML
Birds Eye Deli Handcrafted Squid Strips Lightly Seasoned 225g,$10.00,$44.44 / 1KG
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
